time,[A],[B],[C]
0.0,10.938779615294543,0.017195864950857814,0.29925269303045526
1.0526315789473684,7.219008146848843,2.545634770609294,0.46822301738859406
2.1052631578947367,4.719199577194125,4.204033062663805,1.3889686979901654
3.1578947368421053,2.9406000541271866,4.787842132682793,2.144630920479575
4.2105263157894735,2.2934369010967117,4.7064982035079534,3.368678710506714
5.263157894736842,1.1323367493828373,4.283476225304258,3.920291369713332
6.315789473684211,1.8648623924942496,4.2490164047709795,4.453488964325132
7.368421052631579,0.35081923382876257,3.294345955613367,6.1484970705311515
8.421052631578947,0.7190447396198396,2.9495689455399097,6.777544083619305
9.473684210526315,1.4985969537130694,2.7134443353845983,6.826883876834788
10.526315789473683,0.09302941056527322,2.3335078462981316,7.541664132456614
11.578947368421051,0.0,2.3160330003002056,7.81937470501427
12.631578947368421,0.0,1.9359508560234562,8.805741002456354
13.68421052631579,0.009387186236952949,1.1364334396739268,9.183195536765218
14.736842105263158,0.23512562927409292,0.9543409309099883,9.30346275269628
15.789473684210526,0.5584108392020692,0.9755663990897464,9.067358789896977
16.842105263157894,0.0,0.7563978014210123,9.887698008867243
17.894736842105264,0.0,0.5232158203049174,10.11302237965733
18.94736842105263,1.000760549598087,0.37856319848401565,9.413893065978417
20.0,0.17758685267014956,0.13248327504719382,9.24204780126945
