time,[C]
0.0,0.29925269303045526
1.0526315789473684,0.46822301738859406
2.1052631578947367,1.3889686979901654
3.1578947368421053,2.144630920479575
4.2105263157894735,3.368678710506714
5.263157894736842,3.920291369713332
6.315789473684211,4.453488964325132
7.368421052631579,6.1484970705311515
8.421052631578947,6.777544083619305
9.473684210526315,6.826883876834788
10.526315789473683,7.541664132456614
11.578947368421051,7.81937470501427
12.631578947368421,8.805741002456354
13.68421052631579,9.183195536765218
14.736842105263158,9.30346275269628
15.789473684210526,9.067358789896977
16.842105263157894,9.887698008867243
17.894736842105264,10.11302237965733
18.94736842105263,9.413893065978417
20.0,9.24204780126945
